,drive_id,offense,defense,drive_number,start_period,start_time_min,start_time_sec,start_yardline,start_ytg,drive_result,end_period,end_time_min,end_time_sec,end_yardline,end_ytg,num_plays,score,yards_gained,game_id
14236,40101503431,Middle Tennessee,Western Kentucky,30,4,1,13,39,61,END OF GAME,4,0,0,29,71,2,False,-10,401015034
14237,4010150351,UTEP,Rice,1,1,15,0,75,75,TD,1,12,32,0,0,6,True,75,401015035
14238,4010150352,Rice,UTEP,2,1,12,32,25,75,PUNT,1,9,18,44,56,5,False,19,401015035
14239,4010150353,UTEP,Rice,3,1,9,18,80,80,PUNT,1,5,41,44,44,6,False,36,401015035
14240,4010150354,Rice,UTEP,4,1,5,41,10,90,PUNT,1,4,9,18,82,3,False,8,401015035
14241,4010150355,UTEP,Rice,5,1,4,9,58,58,TD,2,14,59,0,0,8,True,58,401015035
14242,4010150356,Rice,UTEP,6,2,14,59,25,75,PUNT,2,13,24,29,71,3,False,4,401015035
14243,4010150357,UTEP,Rice,7,2,13,24,73,73,TD,2,9,17,0,0,7,True,73,401015035
14244,4010150358,Rice,UTEP,8,2,9,17,40,60,PUNT,2,5,58,50,50,7,False,10,401015035
14245,4010150359,UTEP,Rice,9,2,5,58,80,80,TD,2,0,17,0,0,15,True,80,401015035
14246,40101503510,Rice,UTEP,10,2,0,17,25,75,FG,2,0,0,75,25,3,True,50,401015035
14247,40101503511,Rice,UTEP,11,3,15,0,25,75,DOWNS,3,8,28,90,10,9,False,65,401015035
14248,40101503512,UTEP,Rice,12,3,8,28,90,90,TD,3,7,11,0,0,6,True,25,401015035
14249,40101503513,Rice,UTEP,13,3,7,11,91,9,TD,3,0,52,100,0,10,True,75,401015035
14250,40101503514,UTEP,Rice,14,3,0,52,73,73,FUMBLE,3,0,0,48,48,5,False,27,401015035
14251,40101503515,Rice,UTEP,15,4,13,44,48,52,TD,4,11,26,100,0,8,True,52,401015035
14252,40101503516,UTEP,Rice,16,4,11,26,75,75,INT,4,10,37,72,72,2,False,3,401015035
14253,40101503517,Rice,UTEP,17,4,10,37,73,27,INT,4,10,32,73,27,1,False,0,401015035
14254,40101503518,UTEP,Rice,18,4,10,32,78,78,PUNT,4,9,37,78,78,3,False,0,401015035
14255,40101503519,Rice,UTEP,19,4,9,37,40,60,TD,4,8,37,100,0,4,True,60,401015035
14256,40101503520,UTEP,Rice,20,4,8,37,75,75,PUNT,4,7,15,77,77,3,False,-2,401015035
14257,40101503521,Rice,UTEP,21,4,7,15,25,75,PUNT,4,6,4,29,71,3,False,4,401015035
14258,40101503522,UTEP,Rice,22,4,6,4,78,78,PUNT,4,3,30,55,55,5,False,23,401015035
14259,40101503523,Rice,UTEP,23,4,3,30,20,80,INT,4,2,22,10,90,4,False,-10,401015035
14260,40101503524,UTEP,Rice,24,4,2,22,49,49,PUNT,4,0,2,43,43,3,False,6,401015035
14261,40101503525,Rice,UTEP,25,4,0,2,11,89,END OF GAME,4,0,0,36,64,1,False,25,401015035
14262,4010150361,UAB,UT San Antonio,1,1,15,0,25,75,TD,1,12,22,100,0,6,True,75,401015036
14263,4010150362,UT San Antonio,UAB,2,1,12,22,75,75,PUNT,1,11,33,73,73,3,False,2,401015036
14264,4010150363,UAB,UT San Antonio,3,1,11,33,30,70,TD,1,7,54,100,0,7,True,70,401015036
14265,4010150364,UT San Antonio,UAB,4,1,7,54,75,75,FG,1,5,19,19,19,6,True,56,401015036
14266,4010150365,UAB,UT San Antonio,5,1,5,19,22,78,TD,1,4,41,100,0,3,True,78,401015036
14267,4010150366,UT San Antonio,UAB,6,1,4,41,75,75,PUNT,1,0,54,39,39,8,False,36,401015036
14268,4010150367,UAB,UT San Antonio,7,1,0,54,2,98,TD,2,13,2,100,0,6,True,98,401015036
14269,4010150368,UT San Antonio,UAB,8,2,13,2,75,75,PUNT,2,12,4,78,78,3,False,-3,401015036
14270,4010150369,UAB,UT San Antonio,9,2,12,4,96,4,TD,2,12,0,100,0,1,True,4,401015036
14271,40101503610,UT San Antonio,UAB,10,2,12,0,75,75,DOWNS,2,8,20,10,10,10,False,65,401015036
14272,40101503611,UAB,UT San Antonio,11,2,8,20,10,90,FG,2,5,51,66,34,7,True,56,401015036
14273,40101503612,UT San Antonio,UAB,12,2,5,51,75,75,PUNT,2,3,39,55,55,4,False,20,401015036
14274,40101503613,UAB,UT San Antonio,13,2,3,39,32,68,INT,2,2,54,36,64,2,False,4,401015036
14275,40101503614,UT San Antonio,UAB,14,2,2,54,37,37,DOWNS,2,2,2,37,37,4,False,0,401015036
14276,40101503615,UAB,UT San Antonio,15,2,2,2,37,63,MISSED FG,2,0,24,71,29,6,False,34,401015036
14277,40101503616,UT San Antonio,UAB,16,2,0,24,71,71,END OF HALF,2,0,0,70,70,1,False,1,401015036
14278,40101503617,UT San Antonio,UAB,17,3,15,0,75,75,PUNT,3,14,11,73,73,3,False,2,401015036
14279,40101503618,UAB,UT San Antonio,18,3,14,11,28,72,TD,3,9,32,100,0,10,True,72,401015036
14280,40101503619,UT San Antonio,UAB,19,3,9,32,75,75,PUNT,3,7,27,57,57,4,False,18,401015036
14281,40101503620,UAB,UT San Antonio,20,3,7,27,14,86,PUNT,3,5,53,19,81,3,False,5,401015036
14282,40101503621,UT San Antonio,UAB,21,3,5,53,56,56,FUMBLE,3,4,7,3,3,5,False,53,401015036
14283,40101503622,UAB,UT San Antonio,22,3,4,7,3,97,TD,4,14,10,100,0,10,True,97,401015036
14284,40101503623,UT San Antonio,UAB,23,4,14,10,75,75,INT,4,8,29,23,23,11,False,52,401015036
14285,40101503624,UAB,UT San Antonio,24,4,8,29,19,81,END OF GAME,4,0,0,74,26,11,False,55,401015036
14286,4010150371,Charlotte,Marshall,1,1,15,0,75,75,TD,1,8,42,0,0,12,True,75,401015037
14287,4010150372,Marshall,Charlotte,2,1,8,42,35,65,FG,1,5,0,94,6,11,True,59,401015037
14288,4010150373,Charlotte,Marshall,3,1,5,0,75,75,PUNT,1,2,38,71,71,3,False,4,401015037
14289,4010150374,Marshall,Charlotte,4,1,2,38,99,1,TD,1,2,34,100,0,1,True,1,401015037
14290,4010150375,Charlotte,Marshall,5,1,2,34,87,87,PUNT,2,14,13,65,65,6,False,22,401015037
14291,4010150376,Marshall,Charlotte,6,2,14,13,33,67,PUNT,2,11,46,49,51,6,False,16,401015037
14292,4010150377,Charlotte,Marshall,7,2,11,46,88,88,PUNT,2,10,43,86,86,3,False,2,401015037
14293,4010150378,Marshall,Charlotte,8,2,10,43,47,53,PUNT,2,9,26,53,47,3,False,6,401015037
14294,4010150379,Charlotte,Marshall,9,2,9,26,87,87,PUNT,2,0,0,71,71,6,False,16,401015037
14295,40101503710,Marshall,Charlotte,10,2,6,29,36,64,FG,2,4,21,84,16,7,True,48,401015037
14296,40101503711,Charlotte,Marshall,11,2,4,21,70,70,FG,2,0,0,23,23,11,True,47,401015037
14297,40101503712,Marshall,Charlotte,12,3,15,0,19,81,FUMBLE,3,14,46,20,80,1,False,1,401015037
14298,40101503713,Charlotte,Marshall,13,3,14,46,20,20,FG,3,13,48,18,18,4,True,2,401015037
14299,40101503714,Marshall,Charlotte,14,3,13,48,25,75,TD,3,9,59,100,0,12,True,75,401015037
14300,40101503715,Charlotte,Marshall,15,3,9,59,77,77,PUNT,3,8,26,85,85,3,False,-8,401015037
14301,40101503716,Marshall,Charlotte,16,3,8,26,58,42,FG,3,4,39,94,6,9,True,36,401015037
14302,40101503717,Charlotte,Marshall,17,3,4,39,80,80,PUNT,3,3,12,83,83,3,False,-3,401015037
14303,40101503718,Marshall,Charlotte,18,3,3,12,50,50,TD,3,0,37,100,0,5,True,50,401015037
